txn_id,policy,retry_at,recovered,recovered_amount
33c8e6bd-014c-555a-bb21-e28805711532,baseline,2026-01-12T23:43:28,False,0.00
33c8e6bd-014c-555a-bb21-e28805711532,smart,2026-01-12T19:43:28,False,0.00
7c41f0e0-ce63-54cd-8247-d8ea2852ebc2,baseline,2026-01-24T08:22:31,False,0.00
7c41f0e0-ce63-54cd-8247-d8ea2852ebc2,smart,2026-01-24T08:22:31,False,0.00
7cfdd46c-8418-5efb-9b25-feb1cf3354a7,baseline,,False,0.00
7cfdd46c-8418-5efb-9b25-feb1cf3354a7,smart,,False,0.00
823df687-1e6e-5445-928d-cf73abedfa10,baseline,,False,0.00
823df687-1e6e-5445-928d-cf73abedfa10,smart,,False,0.00
b74e4dad-2419-57b7-b7e1-498aaa741f30,baseline,,False,0.00
b74e4dad-2419-57b7-b7e1-498aaa741f30,smart,,False,0.00
1d39e8c8-5810-5665-ab74-1552f3e441bc,baseline,,False,0.00
1d39e8c8-5810-5665-ab74-1552f3e441bc,smart,,False,0.00
8f93fc85-abca-580e-9d4d-d4f86d662cd8,baseline,,False,0.00
8f93fc85-abca-580e-9d4d-d4f86d662cd8,smart,,False,0.00
5b3d9d56-519d-5c5f-a3fe-46e8f707b51e,baseline,2026-03-04T04:40:30,False,0.00
5b3d9d56-519d-5c5f-a3fe-46e8f707b51e,smart,2026-03-04T09:00:00,False,0.00
88fbdf6e-9886-573c-b16f-45d8b05a3180,baseline,2026-03-08T07:27:22,False,0.00
88fbdf6e-9886-573c-b16f-45d8b05a3180,smart,2026-03-08T07:27:22,False,0.00
81144f3e-ee74-5692-8e6d-8cd9addcd88f,baseline,2026-03-14T01:23:02,True,3148.68
81144f3e-ee74-5692-8e6d-8cd9addcd88f,smart,2026-03-13T21:23:02,False,0.00
b5d13d62-22ba-5fb1-99d5-e2cd601a52a2,baseline,2026-03-27T03:39:01,False,0.00
b5d13d62-22ba-5fb1-99d5-e2cd601a52a2,smart,2026-04-01T09:00:00,False,0.00
9c86981f-62e2-51bb-af12-653dbea17072,baseline,2026-01-02T00:14:47,False,0.00
9c86981f-62e2-51bb-af12-653dbea17072,smart,2026-02-01T09:00:00,True,3885.67
72d75efe-bf78-5b7a-97ed-78556ef8629d,baseline,2026-01-04T01:32:01,False,0.00
72d75efe-bf78-5b7a-97ed-78556ef8629d,smart,2026-01-04T21:32:01,False,0.00
61a90eac-a74c-5d42-bd73-8ac21823ce50,baseline,2026-01-09T15:14:00,False,0.00
61a90eac-a74c-5d42-bd73-8ac21823ce50,smart,2026-01-09T11:14:00,False,0.00
ae72b1aa-334c-5a76-8248-a2f835e3e562,baseline,2026-01-12T01:29:04,True,2662.06
ae72b1aa-334c-5a76-8248-a2f835e3e562,smart,2026-01-11T21:29:04,True,2662.06
449aaa9d-6b78-566c-9573-03849286905b,baseline,,False,0.00
449aaa9d-6b78-566c-9573-03849286905b,smart,,False,0.00
c3064577-b8f5-5549-96cc-379d00b7c1a9,baseline,,False,0.00
c3064577-b8f5-5549-96cc-379d00b7c1a9,smart,,False,0.00
3cc06079-38b2-5614-ab05-a55846e07be0,baseline,2026-01-25T21:51:52,False,0.00
3cc06079-38b2-5614-ab05-a55846e07be0,smart,2026-01-26T17:51:52,False,0.00
920cb6bf-068d-556f-a787-c0e843a80e44,baseline,2026-01-27T00:24:28,False,0.00
920cb6bf-068d-556f-a787-c0e843a80e44,smart,2026-01-26T20:24:28,False,0.00
1539cc8c-16d7-5384-8793-eb7409439855,baseline,,False,0.00
1539cc8c-16d7-5384-8793-eb7409439855,smart,,False,0.00
d0ed995b-17fc-5cc3-9ffb-5ddeb93b6fba,baseline,2026-03-17T14:16:51,False,0.00
d0ed995b-17fc-5cc3-9ffb-5ddeb93b6fba,smart,2026-03-17T10:16:51,True,2451.80
679e5392-8f31-5308-80f9-db1a85dccdf7,baseline,,False,0.00
679e5392-8f31-5308-80f9-db1a85dccdf7,smart,,False,0.00
7a4ab5b7-24cc-5dc6-b968-334e43ee5332,baseline,2026-01-12T00:33:39,True,4074.06
7a4ab5b7-24cc-5dc6-b968-334e43ee5332,smart,2026-01-11T20:33:39,False,0.00
3a523744-d120-5227-ae46-c9b3a81cbd4a,baseline,2026-01-19T05:10:06,False,0.00
3a523744-d120-5227-ae46-c9b3a81cbd4a,smart,2026-01-19T01:10:06,False,0.00
a97025ef-bb75-5ff9-b12c-2d3c7cacb2e9,baseline,2026-01-31T23:11:00,False,0.00
a97025ef-bb75-5ff9-b12c-2d3c7cacb2e9,smart,2026-02-01T09:00:00,False,0.00
1ca8f00b-face-5e48-b871-733825d483bf,baseline,2026-02-03T16:19:22,True,36210.86
1ca8f00b-face-5e48-b871-733825d483bf,smart,2026-02-04T12:19:22,False,0.00
a91ffb14-37d2-5202-ab4e-76c45b7c5715,baseline,2026-02-12T15:50:19,False,0.00
a91ffb14-37d2-5202-ab4e-76c45b7c5715,smart,2026-02-12T11:50:19,False,0.00
d12efd02-3a83-5a14-bbcf-a115e672eb06,baseline,2026-02-18T07:01:33,False,0.00
d12efd02-3a83-5a14-bbcf-a115e672eb06,smart,2026-02-18T07:01:33,False,0.00
001b866f-fa5a-5d85-a395-9c768d0c5d71,baseline,2026-03-01T00:15:43,True,1595.87
001b866f-fa5a-5d85-a395-9c768d0c5d71,smart,2026-03-01T09:00:00,True,1595.87
42f57dcb-a63b-5f4e-946c-8314977538c5,baseline,2026-03-04T15:39:27,False,0.00
42f57dcb-a63b-5f4e-946c-8314977538c5,smart,2026-03-05T11:39:27,False,0.00
f3fd3083-5de2-5536-aa62-867dfccce04b,baseline,,False,0.00
f3fd3083-5de2-5536-aa62-867dfccce04b,smart,,False,0.00
e1c26a64-3c08-5d28-911a-8694e1befb26,baseline,,False,0.00
e1c26a64-3c08-5d28-911a-8694e1befb26,smart,,False,0.00
bb40b5aa-a36f-5878-a3b4-5272721496e1,baseline,,False,0.00
bb40b5aa-a36f-5878-a3b4-5272721496e1,smart,,False,0.00
4e1a7d44-5eca-55e3-a6fe-e917dadc8715,baseline,,False,0.00
4e1a7d44-5eca-55e3-a6fe-e917dadc8715,smart,,False,0.00
5818f6b2-bf1c-586f-a536-9148b10e7730,baseline,2026-01-22T01:54:21,False,0.00
5818f6b2-bf1c-586f-a536-9148b10e7730,smart,2026-01-21T21:54:21,False,0.00
4da5245b-cc1a-5516-bf92-8cacdb5e2c0f,baseline,,False,0.00
4da5245b-cc1a-5516-bf92-8cacdb5e2c0f,smart,,False,0.00
ba7a0e2f-45c6-55d8-94aa-69f32e62d1c9,baseline,2026-01-29T15:26:19,True,3334.22
ba7a0e2f-45c6-55d8-94aa-69f32e62d1c9,smart,2026-01-29T11:26:19,False,0.00
7a6c5e49-3e3e-5793-ae01-860566553a75,baseline,2026-02-19T15:02:27,True,1043.98
7a6c5e49-3e3e-5793-ae01-860566553a75,smart,2026-02-19T11:02:27,True,1043.98
e9152f6d-7af6-54f8-85ee-a8da0d2a5cbc,baseline,,False,0.00
e9152f6d-7af6-54f8-85ee-a8da0d2a5cbc,smart,,False,0.00
46c7f278-7a7c-5d18-9051-5f173da4f1e6,baseline,,False,0.00
46c7f278-7a7c-5d18-9051-5f173da4f1e6,smart,,False,0.00
ea74385a-9031-5e95-b66c-b33546622e9d,baseline,,False,0.00
ea74385a-9031-5e95-b66c-b33546622e9d,smart,,False,0.00
5cfff9c4-50c7-5e3d-82e1-8b3025f2d1e0,baseline,2026-03-21T17:13:02,False,0.00
5cfff9c4-50c7-5e3d-82e1-8b3025f2d1e0,smart,2026-03-21T13:13:02,True,4373.95
358ec30d-3313-50ad-88ba-24cfe5e0b0ba,baseline,,False,0.00
358ec30d-3313-50ad-88ba-24cfe5e0b0ba,smart,,False,0.00
43d13899-4f09-5eeb-a7eb-8d35b1c4c357,baseline,,False,0.00
43d13899-4f09-5eeb-a7eb-8d35b1c4c357,smart,,False,0.00
3daf1094-4c52-5eb9-a211-1a3f3a185f92,baseline,2026-01-15T21:35:39,True,24642.22
3daf1094-4c52-5eb9-a211-1a3f3a185f92,smart,2026-01-16T17:35:39,False,0.00
38b0bed2-d83b-5ac5-9987-35d4fc8fae37,baseline,,False,0.00
38b0bed2-d83b-5ac5-9987-35d4fc8fae37,smart,,False,0.00
04fafbdd-b123-57bf-b08e-b8650cd090d3,baseline,,False,0.00
04fafbdd-b123-57bf-b08e-b8650cd090d3,smart,,False,0.00
a8b39ffb-ea3f-5b81-8298-68187d827701,baseline,2026-02-16T23:17:43,False,0.00
a8b39ffb-ea3f-5b81-8298-68187d827701,smart,2026-02-16T19:17:43,False,0.00
eb2b55d9-6b1b-55db-a119-b3cc6b2bd73e,baseline,2026-02-18T08:51:37,True,2276.17
eb2b55d9-6b1b-55db-a119-b3cc6b2bd73e,smart,2026-02-18T08:51:37,True,2276.17
44ae5812-6e8f-58b5-9cc0-857f9884b554,baseline,2026-02-24T01:35:26,False,0.00
44ae5812-6e8f-58b5-9cc0-857f9884b554,smart,2026-02-24T21:35:26,True,11336.04
ceda68f1-1a9b-5abf-a927-d201c3df450c,baseline,2026-02-28T01:43:52,True,1165.71
ceda68f1-1a9b-5abf-a927-d201c3df450c,smart,2026-03-01T09:00:00,False,0.00
5ad89b3f-7b21-5c74-aa30-3fc16a266ba3,baseline,2026-03-20T01:30:22,False,0.00
5ad89b3f-7b21-5c74-aa30-3fc16a266ba3,smart,2026-03-19T21:30:22,True,1605.48
0550fc79-551c-5450-ba08-325e9e2357ec,baseline,2026-03-28T01:21:39,True,796.87
0550fc79-551c-5450-ba08-325e9e2357ec,smart,2026-03-27T21:21:39,False,0.00
2ad01c26-bcae-5f9f-ada7-f56b80891621,baseline,,False,0.00
2ad01c26-bcae-5f9f-ada7-f56b80891621,smart,,False,0.00
e0eaf268-94b2-54e4-862c-f076765bd7ef,baseline,,False,0.00
e0eaf268-94b2-54e4-862c-f076765bd7ef,smart,,False,0.00
