feature,importance
card_type=UPI,0.19093743
hour_of_day,0.15908412
amount,0.14137211
is_recurring=true,0.13100925
card_type=debit,0.11728889
day_of_month,0.10404354
is_recurring=false,0.09528595
history_reason=expired_card,0.02778293
card_type=credit,0.01023023
customer_past_failure_count,0.00636810
card_type=netbanking,0.00432776
history_reason=threeds_dropoff,0.00312122
history_reason=gateway_error,0.00252062
history_reason=bank_timeout,0.00232778
history_reason=insufficient_funds,0.00221842
history_reason=issuer_decline,0.00186999
attempt_number,0.00021166
card_type=unknown,0.00000000
is_recurring=unknown,0.00000000
